FLWS:35.93:2.88
FCTY:8.55:1.22
FCCY:11.73:0.95
SRCE:14.79:1.33
VNET:-121.73:3.84
JOBS:13.33:2.09
EGHT:385.70:2.92
AVHI:-10.62:1.40
SHLM:20.77:2.25
AAON:32.57:7.15
ABAX:91.60:6.54
ABGB:14.01:1.44
ABMD:207.28:9.02
AXAS:7.24:3.49
ACTG:-14.17:1.29
ACHC:70.56:4.93
ACAD:-70.80:12.50
ACST:-4.29:4.49
AXDX:-45.24:12.24
XLRN:-8.62:19.42
ANCX:13.27:1.70
ARAY:-15.34:5.91
ACRX:-11.54:6.66
ACET:21.20:2.67
ACHN:-21.16:2.10
ACIW:36.96:4.65
ACNB:13.69:1.01
ACOR:103.87:2.71
ACFN:-0.49:2.78
ACTS:1,059.93:0.72
ACPW:-4.37:3.22
ATVI:21.19:1.89
BIRT:50.77:2.86
ACUR:-1.72:4.50
ACXM:163.33:2.27
ADMP:-5.03:5.32
ADUS:26.12:2.15
AEY:38.72:0.62
ADEP:-124.71:5.62
ADTN:28.29:2.54
AEIS:30.65:1.99
ADXS:-2.05:2.85
AEGR:-9.85:18.45
AEGN:16.27:1.17
AEPI:30.21:3.90
AERI:-4.90:6.24
AVAV:44.92:1.84
AEZS:3.04:3.67
ATRM:-1.08:1.87
AFFX:-43.43:2.28
AGYS:16.10:2.13
AGIO:-38.78:5.68
AIRM:28.14:6.19
AIRT:42.75:2.20
ATSG:-26.90:1.42
AMCN:-14.43:0.45
AIXG:-9.55:2.52
AKAM:39.29:3.20
AKER:-4.15:3.57
AKRX:78.41:9.14
ALSK:0.66:0.77
AMRI:39.23:1.30
ADHD:-3.66:5.04
ALCO:45.90:2.53
ALGN:72.05:7.26
ALKS:323.56:3.33
ALGT:31.09:5.20
ALLB:60.69:0.98
AFOP:14.26:3.41
AHGP:15.93:7.08
ARLP:11.90:3.34
AHPI:-5.06:0.66
AMOT:51.22:2.36
ALQA:-1.66:5.97
ALLT:-45.90:2.93
MDRX:-21.78:2.10
AFAM:33.75:1.42
ALNY:-67.43:15.16
AOSL:-68.00:0.86
ATEC:-1.65:1.14
ALTI:-0.72:0.68
ALTR:27.28:2.94
ASPS:6.58:22.91
APSA:21.33:7.98
AIMC:19.01:3.41
AMAG:-96.82:3.07
AMRK:9.15:1.40
AMZN:522.92:18.78
AMBC:0.30:1.57
AMBA:60.02:5.89
EPAX:-6.07:1.42
DOX:17.75:2.15
AMED:-9.40:1.28
UHAL:16.46:3.65
ASBI:24.45:1.05
ATAX:16.02:1.58
AMOV:15.88:5.30
AGNC:6.80:0.81
MTGE:-12.06:0.81
ANCI:-4.24:1.16
AETI:12.27:3.07
AMIC:24.30:0.95
AMNB:12.02:1.24
ANAT:11.43:0.74
APEI:15.38:3.69
ARII:13.00:2.25
ARCP:-3.93:1.92
AMRB:27.94:0.92
ASEI:26.52:2.07
AMSWA:24.27:2.78
AMSC:-0.91:0.52
AMWD:30.52:3.28
CRMT:23.75:2.19
ABCB:33.69:1.84
AMSF:17.91:1.88
ASRV:11.69:0.62
ATLO:16.98:1.47
AMGN:24.08:3.90
FOLD:-7.42:3.18
AMKR:14.24:1.39
ASYS:-7.66:1.82
AFSI:15.02:1.83
ANAC:15.11:5.74
ANAD:-1.16:1.98
ADI:28.05:3.63
ALOG:30.70:2.04
ANCB:119.12:0.94
AMCF:-15.10:0.30
ANGO:213.44:1.25
ANIP:-61.95:4.72
ANIK:28.60:4.02
ANSS:31.64:3.77
ATRS:-16.19:8.14
ANTH:-1.04:4.04
APAGF:22.17:1.46
ATNY:-13.80:1.59
APOG:43.43:3.48
APOL:17.88:3.15
AAPL:16.95:5.80
ARCI:4.59:1.07
AGTC:-4.78:3.95
AMAT:28.69:3.87
AMCC:-81.00:3.39
AAOI:-77.07:3.01
AREX:3.45:1.06
APRI:-2.62:9.07
AQU:17.68:1.58
ARDM:-3.27:3.05
PETX:-46.69:5.20
ARCW:33.16:5.04
ABIO:-1.00:1.69
ARCB:77.76:1.67
ACGL:11.54:1.50
ACAT:11.90:2.47
ARNA:-39.89:13.94
AGII:10.57:0.79
ARIS:-365.00:2.97
ARIA:-4.62:6.83
ARKR:15.52:2.08
ARMH:134.46:11.73
ARTX:18.50:1.44
ARQL:-3.18:2.22
ARRS:-81.76:2.62
AROW:15.57:1.72
ARWR:-6.17:2.42
ARTNA:23.93:1.66
ARTW:13.50:1.38
ARUN:-67.37:5.88
ASBB:66.13:0.86
ASNA:15.04:1.17
ASCMA:-32.22:2.34
ASTI:-0.17:2.82
APWC:6.19:0.29
ASMI:2.11:1.05
ASML:32.41:3.98
AZPN:38.07:38.36
ASMB:-1.58:3.23
ASFI:42.57:0.68
ATEA:-2.20:5.02
ASTE:22.90:1.53
ALOT:37.62:1.55
ATRO:37.09:5.31
ASTC:-9.94:1.67
ASUR:-18.97:7.95
ATAI:24.39:1.49
ATHN:2,114.14:12.83
AFCB:24.23:0.99
ATHX:-3.13:8.92
AAME:8.40:0.86
ACFC:-1.23:1.02
ATNI:31.99:1.39
ATLC:-2.02:47.56
AAWW:13.23:0.78
ATML:-167.80:3.55
ATOS:-2.00:4.06
ATRC:-35.32:5.98
ATRI:25.94:3.96
ATTU:-211.60:5.00
AUBN:12.00:1.41
ADNC:49.78:1.61
AUDC:41.55:2.64
ADAT:-3.58:7.03
ABTL:3.05:2.08
ADSK:59.53:5.14
ADP:26.73:6.00
AUXL:-93.16:4.09
AVNR:-54.65:12.01
AVEO:-0.42:1.36
CAR:464.88:5.59
AWRE:40.91:1.62
ACLS:-15.94:1.53
AXGN:-3.33:569.80
AXTI:-11.24:0.63
BCOM:15.23:1.77
BEAV:16.31:3.53
BIDU:45.77:9.82
BCPC:44.26:5.35
BWINA:10.38:1.07
BWINB:10.38:1.07
BLDP:-10.43:2.33
BANF:17.96:1.54
BKMU:29.35:1.16
BOCH:11.46:0.97
BMRC:19.83:1.41
BKSC:16.47:2.04
BOTJ:11.48:1.05
OZRK:30.66:3.34
BFIN:72.50:1.10
BWFG:14.47:1.38
BANR:17.67:1.62
BBSI:11.13:9.16
BSET:41.06:1.09
BYBK:11.15:0.85
BYLK:14.15:1.08
BV:-9.75:3.02
BBCN:13.67:1.63
BCBP:11.06:1.28
BECN:25.80:1.68
BSF:360.00:2.45
BBGI:9.84:2.14
BEBE:-2.39:0.94
BBBY:16.02:3.97
BELFA:18.68:1.07
BELFB:18.68:1.07
BNCL:71.53:1.37
BNFT:-10.47:123.72
BGFV:11.18:2.24
BIND:-1.10:3.57
BASI:-16.31:2.11
BIOD:-2.11:1.35
BIIB:43.79:7.66
BIOL:-7.58:11.80
BLRX:-2.48:5.83
BMRN:-72.01:7.53
BPTH:-53.20:70.43
BIOS:-6.22:1.42
BSTC:51.76:6.46
BSPM:19.00:0.42
BOTA:-6.60:1.15
BEAT:-34.52:3.07
BDMS:297.10:5.49
BJRI:68.62:2.19
BBOX:-3.26:1.06
BDE:-46.44:1.75
BLKB:62.79:10.75
BBRY:-1.09:1.43
HAWK:36.28:6.08
BLMN:14.67:6.26
BCOR:24.13:2.39
NILE:41.22:15.22
BLUE:-45.18:3.31
BKEP:26.88:0.42
BNCN:28.10:1.72
BOBE:40.16:3.11
BOFI:19.89:3.07
WIFI:-68.91:1.62
BOKF:13.07:1.61
BOLT:10.00:1.36
BONA:75.28:1.72
BNSO:-34.75:0.84
BAMM:-3.25:0.32
BPFH:19.59:1.72
EPAY:-48.75:2.45
BDBD:62.47:2.69
BBRG:36.41:3.12
BBEP:-17.74:1.22
BDGE:19.49:1.84
BBNK:23.35:2.00
BLIN:-1.43:0.50
BRID:23.22:2.60
BCOV:-21.50:6.80
BRCM:59.01:2.06
BSFT:-90.13:3.86
BVSN:-5.30:1.06
BYFC:-10.31:0.73
BWEN:-7.78:1.45
BRCD:22.11:2.12
BRKL:19.35:1.10
BRKS:191.21:1.33
BRKR:40.90:3.92
BMTC:17.07:1.79
BLMT:84.16:1.05
BSDM:-1.70:1.32
BSQR:-9.62:1.64
BTUI:-2.67:1.52
BWLD:47.13:5.90
BLDR:-15.18:45.42
BUR:-13.84:29.92
CFFI:9.51:1.37
CHRW:27.86:9.33
CA:15.42:2.40
CCMP:22.95:3.03
CACH:-0.11:6.94
CDNS:33.63:3.47
CACQ:52.84:1.43
CSTE:33.17:6.50
PRSS:-2.96:1.30
CLMS:14.36:1.11
CAMP:55.61:4.93
CVGW:39.66:3.63
CFNB:20.79:0.81
CALD:-28.93:14.85
CALM:17.10:3.18
