KMDA:0.05:0.01:400:02/11/2015:E:
AOL:0.78:0.55:41.82:02/11/2015:E:
CG:0.56:0.41:36.59:02/11/2015:E:
VOYA:0.99:0.75:32:02/11/2015:E:
AGTC:-0.28:-0.39:28.21:02/11/2015:E:
BLX:0.93:0.73:27.4:02/11/2015:E:
GNRC:0.98:0.78:25.64:02/11/2015:E:
AFSI:1.46:1.22:19.67:02/11/2015:E:
CRWS:0.2:0.17:17.65:02/11/2015:E:
OC:0.47:0.42:11.9:02/11/2015:E:
ZTS:0.4:0.36:11.11:02/11/2015:E:
MDLZ:0.47:0.43:9.3:02/11/2015:E:
WIX:-0.35:-0.38:7.89:02/11/2015:E:
CSTE:0.58:0.54:7.41:02/11/2015:E:
TWX:0.98:0.94:4.26:02/11/2015:E:
PEP:1.12:1.08:3.7:02/11/2015:E:
HSIC:1.56:1.51:3.31:02/11/2015:E:
ACCO:0.36:0.35:2.86:02/11/2015:E:
MOS:0.87:0.86:1.16:02/11/2015:E:
LO:0.93:0.92:1.09:02/11/2015:E:
WOOF:0.37:0.37:0:02/11/2015:M:
RTI:0.52:0.52:0:02/11/2015:M:
PAG:0.79:0.8:-1.25:02/11/2015:F:
WEC:0.56:0.57:-1.75:02/11/2015:F:
ARMK:0.43:0.44:-2.27:02/11/2015:F:
BGCP:0.18:0.19:-5.26:02/11/2015:F:
TRI:0.43:0.48:-10.42:02/11/2015:F:
MRKT:0.32:0.37:-13.51:02/11/2015:F:
NNA:0.06:0.07:-14.29:02/11/2015:F:
WCG:0.41:0.66:-37.88:02/11/2015:F:
LPX:-0.23:-0.15:-53.33:02/11/2015:F:
NEWS:0.02:0.1:-80:02/11/2015:F:
EZCH:0:0.05:-100:02/11/2015:F:
