C:Deutsche Bank:Hold:Buy:02/11/2015:U
CBRL:Miller Tabak:Hold:Buy:02/11/2015:U
TE:UBS:Neutral:Buy:02/11/2015:U
BPZ:Miller Tabak:Hold:Sell:02/11/2015:D
FSC:Barclays:Overweight:Equal Weight:02/11/2015:D
FITB:Deutsche Bank:Buy:Hold:02/11/2015:D
GPS:Mizuho:Buy:Neutral:02/11/2015:D
HCP:Mizuho:Neutral:Underperform:02/11/2015:D
MAS:MKM Partners:Buy:Neutral:02/11/2015:D
AMBA:FBN Securities:Initiated:Outperform:02/11/2015:I
CECE:ROTH Capital:Initiated:Neutral:02/11/2015:I
ICBK:Robert W. Baird:Initiated:Outperform:02/11/2015:I
PN:UBS:Initiated:Buy:02/11/2015:I
TRNO:Wunderlich:Initiated:Buy:02/11/2015:I
